mmsi,start,end,length,max_score,mean_score
220414000,2024-09-23 05:00:00+00:00,2024-09-24 23:00:00+00:00,43,1.0,0.911665758441413
303260000,2024-09-22 06:00:00+00:00,2024-09-22 14:00:00+00:00,7,1.0,0.9914968531381737
316020711,2024-09-22 22:00:00+00:00,2024-09-23 00:00:00+00:00,3,1.0,0.9753973608224169
316020711,2024-09-24 21:00:00+00:00,2024-09-24 23:00:00+00:00,3,1.0,0.9771428525114308
316028722,2024-09-22 00:00:00+00:00,2024-09-22 03:00:00+00:00,4,1.0,0.9235439709361101
316028722,2024-09-22 15:00:00+00:00,2024-09-22 21:00:00+00:00,7,1.0,0.9768537421998166
316028722,2024-09-22 23:00:00+00:00,2024-09-23 00:00:00+00:00,2,1.0,1.0
316028722,2024-09-23 02:00:00+00:00,2024-09-23 07:00:00+00:00,6,1.0,0.9668227444269509
316028722,2024-09-23 15:00:00+00:00,2024-09-23 20:00:00+00:00,6,1.0,0.9761206237922604
316028722,2024-09-23 23:00:00+00:00,2024-09-24 01:00:00+00:00,3,1.0,0.9875758559271072
316028722,2024-09-24 10:00:00+00:00,2024-09-24 17:00:00+00:00,8,1.0,0.9682637708068564
316028722,2024-09-24 19:00:00+00:00,2024-09-24 23:00:00+00:00,5,1.0,0.9964519436558226
316048574,2024-09-22 03:00:00+00:00,2024-09-22 06:00:00+00:00,4,1.0,0.9517372749244738
316048574,2024-09-22 08:00:00+00:00,2024-09-22 12:00:00+00:00,5,1.0,0.9885709576778392
316048574,2024-09-23 03:00:00+00:00,2024-09-23 06:00:00+00:00,4,1.0,1.0
316048574,2024-09-23 16:00:00+00:00,2024-09-24 10:00:00+00:00,19,1.0,0.9859094196154254
316048574,2024-09-24 17:00:00+00:00,2024-09-24 23:00:00+00:00,7,1.0,0.9878461178192911
316049287,2024-09-22 01:00:00+00:00,2024-09-24 23:00:00+00:00,27,1.0,0.9875742045562076
338206408,2024-09-22 11:00:00+00:00,2024-09-22 22:00:00+00:00,9,1.0,0.9509586913338725
338254824,2024-09-22 13:00:00+00:00,2024-09-23 01:00:00+00:00,13,1.0,0.9469970218314303
338313066,2024-09-24 13:00:00+00:00,2024-09-24 19:00:00+00:00,7,1.0,0.9590369264591825
338394312,2024-09-23 20:00:00+00:00,2024-09-24 02:00:00+00:00,7,1.0,0.9480816582944119
338434258,2024-09-22 02:00:00+00:00,2024-09-23 22:00:00+00:00,10,1.0,0.9002094042013112
338445236,2024-09-22 16:00:00+00:00,2024-09-22 18:00:00+00:00,3,1.0,0.9611858681969668
338445236,2024-09-24 15:00:00+00:00,2024-09-24 20:00:00+00:00,6,1.0,0.9655800260295918
338504000,2024-09-24 10:00:00+00:00,2024-09-24 18:00:00+00:00,2,1.0,0.9179906449805316
366899260,2024-09-22 15:00:00+00:00,2024-09-22 18:00:00+00:00,4,1.0,0.9743868119835412
366899260,2024-09-22 21:00:00+00:00,2024-09-23 02:00:00+00:00,6,1.0,0.9733429836794837
366899260,2024-09-23 19:00:00+00:00,2024-09-23 20:00:00+00:00,2,1.0,0.9697183273909913
366899260,2024-09-23 22:00:00+00:00,2024-09-24 01:00:00+00:00,4,1.0,0.9490150141978801
367305890,2024-09-22 06:00:00+00:00,2024-09-22 17:00:00+00:00,12,1.0,0.9947277523255549
367305890,2024-09-24 17:00:00+00:00,2024-09-24 23:00:00+00:00,7,1.0,0.9676420077886744
367310330,2024-09-24 21:00:00+00:00,2024-09-24 23:00:00+00:00,3,1.0,0.9696377110654115
367351090,2024-09-22 19:00:00+00:00,2024-09-24 22:00:00+00:00,18,1.0,0.921117610059551
367455770,2024-09-22 08:00:00+00:00,2024-09-24 15:00:00+00:00,28,1.0,0.8816310596660092
367552410,2024-09-24 11:00:00+00:00,2024-09-24 14:00:00+00:00,4,1.0,0.8658248327126168
367628670,2024-09-24 20:00:00+00:00,2024-09-24 23:00:00+00:00,3,1.0,0.9519134594221508
367694520,2024-09-24 13:00:00+00:00,2024-09-24 23:00:00+00:00,11,1.0,0.9063835712622804
367767410,2024-09-24 22:00:00+00:00,2024-09-24 23:00:00+00:00,2,1.0,1.0
368215170,2024-09-23 16:00:00+00:00,2024-09-23 21:00:00+00:00,6,1.0,0.9284351585879516
368264950,2024-09-22 19:00:00+00:00,2024-09-22 20:00:00+00:00,2,1.0,0.9966025339784268
368341690,2024-09-23 16:00:00+00:00,2024-09-23 18:00:00+00:00,3,1.0,0.9427585115183552
368341690,2024-09-23 20:00:00+00:00,2024-09-24 02:00:00+00:00,7,1.0,0.9778981810818417
368341690,2024-09-24 17:00:00+00:00,2024-09-24 18:00:00+00:00,2,1.0,0.9089913094705584
368341690,2024-09-24 20:00:00+00:00,2024-09-24 23:00:00+00:00,4,1.0,0.9451727246961905
369305000,2024-09-22 13:00:00+00:00,2024-09-22 14:00:00+00:00,2,1.0,0.9993561470009924
369305000,2024-09-23 04:00:00+00:00,2024-09-23 05:00:00+00:00,2,1.0,0.9344387761210504
563000500,2024-09-24 18:00:00+00:00,2024-09-24 23:00:00+00:00,6,1.0,0.9747581503152482
338434258,2024-09-24 03:00:00+00:00,2024-09-24 18:00:00+00:00,3,0.9926133703354952,0.91206195566997
303275000,2024-09-24 13:00:00+00:00,2024-09-24 23:00:00+00:00,11,0.9905108028771998,0.9127150625681857
369305000,2024-09-22 20:00:00+00:00,2024-09-23 01:00:00+00:00,6,0.9888405600191581,0.8876870452213342
367310330,2024-09-24 10:00:00+00:00,2024-09-24 11:00:00+00:00,2,0.9883982087083797,0.9273405124996874
369305000,2024-09-24 06:00:00+00:00,2024-09-24 07:00:00+00:00,2,0.9844899800419148,0.9301994104865622
368113590,2024-09-24 17:00:00+00:00,2024-09-24 20:00:00+00:00,4,0.9800081893183297,0.8884543050848396
563000500,2024-09-23 05:00:00+00:00,2024-09-23 08:00:00+00:00,4,0.9777335459794267,0.8983948434217103
338099721,2024-09-23 09:00:00+00:00,2024-09-23 10:00:00+00:00,2,0.9747402229763616,0.9004143975172328
316013941,2024-09-24 13:00:00+00:00,2024-09-24 22:00:00+00:00,7,0.9738449346587802,0.8924071138549328
366899260,2024-09-24 16:00:00+00:00,2024-09-24 19:00:00+00:00,4,0.9672425421347576,0.9054819825027336
316014160,2024-09-22 09:00:00+00:00,2024-09-22 18:00:00+00:00,10,0.9660261669113441,0.8881841633197725
369305000,2024-09-24 14:00:00+00:00,2024-09-24 17:00:00+00:00,4,0.9605595127215748,0.9040040246647483
372821000,2024-09-22 10:00:00+00:00,2024-09-22 14:00:00+00:00,5,0.9603135241685785,0.9089255382458171
477468400,2024-09-23 14:00:00+00:00,2024-09-23 16:00:00+00:00,3,0.9583421240926557,0.9489782232986802
367056982,2024-09-23 08:00:00+00:00,2024-09-23 15:00:00+00:00,8,0.9573909060424052,0.894219563667924
367310330,2024-09-23 18:00:00+00:00,2024-09-23 21:00:00+00:00,4,0.9566250346232186,0.9126926737354804
316020711,2024-09-22 15:00:00+00:00,2024-09-22 16:00:00+00:00,2,0.9553243900888838,0.9347390633249
369305000,2024-09-24 11:00:00+00:00,2024-09-24 12:00:00+00:00,2,0.9531937209847656,0.9094860570050824
369305000,2024-09-24 19:00:00+00:00,2024-09-24 23:00:00+00:00,5,0.9508626462911133,0.878476075776822
369305000,2024-09-23 16:00:00+00:00,2024-09-23 18:00:00+00:00,3,0.9410007606059739,0.8732845394739805
338504000,2024-09-24 20:00:00+00:00,2024-09-24 23:00:00+00:00,4,0.9401976437192376,0.8887414486189482
369305000,2024-09-24 02:00:00+00:00,2024-09-24 03:00:00+00:00,2,0.9360265303140592,0.931710998851039
369305000,2024-09-22 17:00:00+00:00,2024-09-22 18:00:00+00:00,2,0.9293474521502226,0.9203124708870886
369305000,2024-09-23 20:00:00+00:00,2024-09-23 22:00:00+00:00,3,0.9261791020755743,0.8891002146803486
369305000,2024-09-22 10:00:00+00:00,2024-09-22 11:00:00+00:00,2,0.9255127100516141,0.883662659705235
316034846,2024-09-23 16:00:00+00:00,2024-09-24 23:00:00+00:00,32,0.9252173633006482,0.8675010981158978
338099721,2024-09-22 08:00:00+00:00,2024-09-22 10:00:00+00:00,3,0.9196645976326452,0.8857446419049358
338448706,2024-09-23 16:00:00+00:00,2024-09-23 20:00:00+00:00,5,0.9189275697757334,0.8569192717111767
369305000,2024-09-23 13:00:00+00:00,2024-09-23 14:00:00+00:00,2,0.9188374260285543,0.8888667590342665
369305000,2024-09-22 02:00:00+00:00,2024-09-22 07:00:00+00:00,6,0.9181948745119021,0.8915239168796587
367455770,2024-09-24 20:00:00+00:00,2024-09-24 23:00:00+00:00,4,0.9161552376333724,0.8900278906179839
368261190,2024-09-23 18:00:00+00:00,2024-09-23 21:00:00+00:00,4,0.9135216626399665,0.8608828487028138
367372810,2024-09-24 17:00:00+00:00,2024-09-24 21:00:00+00:00,5,0.9134343273468155,0.8620582281518591
316031352,2024-09-22 20:00:00+00:00,2024-09-22 21:00:00+00:00,2,0.9132924667046841,0.8636313920923995
316020711,2024-09-22 01:00:00+00:00,2024-09-22 02:00:00+00:00,2,0.9097167362974196,0.8991060103038065
367372810,2024-09-23 16:00:00+00:00,2024-09-23 23:00:00+00:00,8,0.9074443974880941,0.8563166532245424
338504000,2024-09-23 10:00:00+00:00,2024-09-24 03:00:00+00:00,2,0.9040204405727384,0.8873589512187474
316020711,2024-09-23 02:00:00+00:00,2024-09-23 04:00:00+00:00,3,0.8999921752811973,0.8640227751254582
367455770,2024-09-24 17:00:00+00:00,2024-09-24 18:00:00+00:00,2,0.8986758298643919,0.8710305887811758
303275000,2024-09-22 17:00:00+00:00,2024-09-22 23:00:00+00:00,7,0.898613053973933,0.8509197462764018
316001222,2024-09-23 23:00:00+00:00,2024-09-24 01:00:00+00:00,3,0.8967864003020288,0.8623809809865749
303275000,2024-09-22 12:00:00+00:00,2024-09-22 15:00:00+00:00,4,0.8939340989273665,0.8456888149472099
636015004,2024-09-23 03:00:00+00:00,2024-09-23 04:00:00+00:00,2,0.891034627677216,0.8615634226716566
369305000,2024-09-23 08:00:00+00:00,2024-09-23 09:00:00+00:00,2,0.8897365602571684,0.8837176944343335
338478099,2024-09-22 20:00:00+00:00,2024-09-22 21:00:00+00:00,2,0.8885985406553144,0.856241886346802
316020711,2024-09-22 19:00:00+00:00,2024-09-22 20:00:00+00:00,2,0.8877772527518372,0.887428047013088
367552410,2024-09-23 21:00:00+00:00,2024-09-23 22:00:00+00:00,2,0.8876076902006642,0.8584405979424803
366899260,2024-09-24 22:00:00+00:00,2024-09-24 23:00:00+00:00,2,0.8873624251119139,0.8698153400601486
338448706,2024-09-22 21:00:00+00:00,2024-09-22 22:00:00+00:00,2,0.8860969479211096,0.8784953298706899
316031352,2024-09-23 01:00:00+00:00,2024-09-23 02:00:00+00:00,2,0.8786511911858186,0.8710778387790422
366359000,2024-09-22 19:00:00+00:00,2024-09-23 00:00:00+00:00,6,0.8734004882042917,0.8388374900409117
538009642,2024-09-24 19:00:00+00:00,2024-09-24 23:00:00+00:00,5,0.8710635572452755,0.8243365942626596
319179500,2024-09-22 10:00:00+00:00,2024-09-22 14:00:00+00:00,5,0.8701762961198938,0.8311719577920549
368130840,2024-09-24 14:00:00+00:00,2024-09-24 15:00:00+00:00,2,0.8684122187378386,0.8556177694235105
316014160,2024-09-23 16:00:00+00:00,2024-09-23 17:00:00+00:00,2,0.8663271708677388,0.8404267144349653
367056982,2024-09-24 05:00:00+00:00,2024-09-24 07:00:00+00:00,3,0.86152675617056,0.8467952849070398
338504000,2024-09-22 23:00:00+00:00,2024-09-23 02:00:00+00:00,4,0.86025361643008,0.8504743332602438
367310330,2024-09-23 10:00:00+00:00,2024-09-23 11:00:00+00:00,2,0.8600647043506507,0.8312797839040666
316020711,2024-09-24 01:00:00+00:00,2024-09-24 02:00:00+00:00,2,0.8572306832317,0.8384899952226789
563000500,2024-09-23 02:00:00+00:00,2024-09-23 03:00:00+00:00,2,0.8506418951192443,0.8263654678165222
367177660,2024-09-23 17:00:00+00:00,2024-09-23 18:00:00+00:00,2,0.8490661507561438,0.8444982689228235
316014160,2024-09-22 21:00:00+00:00,2024-09-22 22:00:00+00:00,2,0.8470039876005638,0.8362688934776761
368264950,2024-09-22 15:00:00+00:00,2024-09-22 16:00:00+00:00,2,0.845331855016741,0.8431850021173217
316014160,2024-09-23 20:00:00+00:00,2024-09-23 23:00:00+00:00,4,0.843485425579328,0.8317978876136876
636015004,2024-09-23 12:00:00+00:00,2024-09-23 13:00:00+00:00,2,0.8426956178100363,0.8318681752023445
372821000,2024-09-22 16:00:00+00:00,2024-09-22 19:00:00+00:00,4,0.8407950002391749,0.8219900500119237
367062810,2024-09-24 13:00:00+00:00,2024-09-24 16:00:00+00:00,4,0.8403732344583041,0.829730522751809
366792940,2024-09-23 23:00:00+00:00,2024-09-24 00:00:00+00:00,2,0.8357887934541629,0.822378192299382
316020711,2024-09-23 18:00:00+00:00,2024-09-23 19:00:00+00:00,2,0.8326507195922157,0.8276432198719642
368261190,2024-09-24 19:00:00+00:00,2024-09-24 20:00:00+00:00,2,0.8313258110508983,0.8305438426436893
303275000,2024-09-23 01:00:00+00:00,2024-09-23 07:00:00+00:00,7,0.8262209106137862,0.8126226912598129
367435670,2024-09-22 01:00:00+00:00,2024-09-22 02:00:00+00:00,2,0.8238068960214141,0.8177536608957041
367056452,2024-09-24 22:00:00+00:00,2024-09-24 23:00:00+00:00,2,0.8236042567200291,0.8171400543165717
368136870,2024-09-22 13:00:00+00:00,2024-09-22 14:00:00+00:00,2,0.8225706732714029,0.815392088739725
367552410,2024-09-24 07:00:00+00:00,2024-09-24 08:00:00+00:00,2,0.82025492412213,0.8143518208493001
352002459,2024-09-23 13:00:00+00:00,2024-09-23 15:00:00+00:00,2,0.81855804477882,0.8170767186704113
368136870,2024-09-24 07:00:00+00:00,2024-09-24 08:00:00+00:00,2,0.8166960663035366,0.8102522308771429
367372810,2024-09-24 12:00:00+00:00,2024-09-24 13:00:00+00:00,2,0.8092419518450878,0.8077614324649843
339979000,2024-09-22 14:00:00+00:00,2024-09-22 15:00:00+00:00,2,0.8077505765755668,0.8077374712776527
368377060,2024-09-24 22:00:00+00:00,2024-09-24 23:00:00+00:00,2,0.8016286079736195,0.801427205423409
